part_number	name	priceOpt	warranty	instock
TY-318	Инструмент Merlion TY-318 для обжимки RJ-45 (8P8C) и RJ-12/11 (6P6C), 4P/6P/8P	2.5	2	1
HT-2810R	Инструмент Ritar HT-2810R с храповиком для обжимки RJ-45 (8P8C Cat-6) и RJ-12/11 (6P6C), 4P/6P/8P,	20.5	2	1
HT-H548	Инструмент Ritar HT-H548 для монтажа компрессионных разъёмов типов RG-58, RG-59, RG-6, RG-11, F	12.4	2	1
TY-311	Инструмент TY-311 для обжимки RJ-45 (8P8C) 8P, Зеленые	3.5	2	1
14720	Кабель Audio-Video 2хRCA (папа) => 2хRCA (папа), CCA, круглый, Black, 1,0 м, (Пакет) 	0.4	2	1
NHXH FE 180 E90 2x1,5	Кабель NHXH FE 180 E90 2x1,5 	26.6	12	1
YT-AV201	Кабель VEGGIEG AV201 Audio-Video 2хRCA (папа) => 2хRCA (папа), GOLD connector,  круглый, Black, 1,5 м, Пакет	3.8	2	1
BNC-POWER КАБЕЛЬ	Кабель для камер видеонаблюдения  BNC-power с разъемами BNC+DC(мама) / BNC+DC(папа) 18 м	3.6	1	1
Ritar BNC+DC 10m	Кабель для камер видеонаблюдения Ritar BNC+DC 10m до 5МР AHD/CVI/TVI/CVBS черный 	3.3	1	1
Ritar BNC+DC 15m	Кабель для камер видеонаблюдения Ritar BNC+DC 15m до 5МР AHD/CVI/TVI/CVBS черный 	3.6	1	1
Ritar BNC+DC 20m	Кабель для камер видеонаблюдения Ritar BNC+DC 20m до 5МР AHD/CVI/TVI/CVBS черный 	4.3	1	1
6301	Кабель Одескабель ВПП 2,5 цена за метр	12.46	1	1
6302	Кабель Одескабель ВПП 4 цена за метр	19.39	1	1
6303	Кабель Одескабель ВПП 6 цена за метр	28.3	1	1
4817001	Кабель Одескабель КГНВ 1*10 -0,66  цена за метр	44.3	1	1
4817028	Кабель Одескабель КГНВ 1*25 -0,66 цена за метр	103.92	1	1
4817013	Кабель Одескабель КГНВ 4*6 -0,66  цена за метр	113.56	1	1
39818	Кабель Одескабель СИП-3 1*50 -20	32.01	1	1
15177	Кабель Одескабель СИП-5 2х16 -0,6/1	20.71	1	1
05692	Кабель Одескабель СИП-5 4х16 -0,6/1	41.44	1	1
15840	Кабель Одескабель СИП-5 4х25 -0,6/1	57.97	1	1
15841	Кабель Одескабель СИП-5 4х35 -0,6/1	76.08	1	1
SM-DL149	Картофелерезка POTATO CHIPPER	6.8	0	1
KB-888	Клавиатура USB Merlion KB-888, длина кабеля 135см, (Eng/Укр/Рус), (460х158х33 мм) Black, 104к, Q20	3.15	2	1
YT-WE	Кнопка выхода в подрозетник с ключом, пластик	1.2	6	1
ZK8500R	Комбинированный считыватель RFID-карт и отпечатков ZKTeco ZK8500R	71	12	1
CRS112-8P-4S-IN	Коммутатор MikroTik CRS112-8P-4S-IN (8xG E PoE, 4хSFP)	172	12	1
UA-MGSESMH-G	Комплект тримачів бокового організатора кабеля з кришкою MGSESM до стійок, сірий	179.4	1	1
UA-MGSESMH-B	Комплект тримачів бокового організатора кабеля з кришкою MGSESM до стійок, чорний	179.4	1	1
UA-MGS-TNG	Комплект язичків до замків у шафи (3 шт)	30	1	1
DS-K2602	Контроллер для 2-дверей DS-K2602	183.94	12	1
DS-K2802	Контроллер для 2-дверей DS-K2802	98.37	12	1
DS-1280ZJ-S	Кронштейн Hikvision DS-1280ZJ-S цвет белый	15.82	1	1
DS-1258ZJ	Кронштейн для купольных камер DS-1258ZJ  	5.76	12	1
WWM-1	Маркерний лист, цифра 0-9, цена за 1 лист	14.41	1	1
RB4011iGS+RM	Маршрутизатор MikroTik RB4011iGS+RM (4x1.4 GHz/1Gb, 10x1GE, 1xSFP+ )	0	12	1
DOLMER	Машинка для заворачивания голубцов DOLMER	2.3	0	1
MX9	Медиа приставка MX9 4K 2/16G Smart TV Box (Android 9.0, ОЗУ 2 Гб, 16Гб встроенной памяти, 4-х ядерный процессор Cortex A7, ARM Mali-400 GPU, Q40	24	6	1
MX9	Медиа приставка MX9 4K 4/32G Smart TV Box (Android 9.0, ОЗУ 4Гб, 32Гб встроенной памяти, 4-х ядерный процессор Cortex A7, ARM Mali-400 GPU	24	6	1
MX9	Медиа приставка MX9 4K 4/64G Smart TV Box (Android 9.0, ОЗУ 4Гб, 64Гб встроенной памяти, 4-х ядерный процессор Cortex A7, ARM Mali-400 GPU	24	6	1
TTP	Многофункциональный тактический пояс на ногу 	6.2	0	1
SeWhTl	Мультитул отвертка в виде снежинки SNOWFLAKE WRENCH TOOL	2.1	0	1
MICE E-1800	Мышь беспроводная Apendra E-1800, 4 кнопок, 800/1200/1600 DPI, 2.4Ghz 10м, Win7/8/10 Mac OS, 2*AAA, Black, COLOR BOX	4	12	1
ESTONE E-2330	Мышь беспроводная ESTONE E-2330, 4 кнопок, 800/1200/1600 DPI, 2.4Ghz 10м, Win7/8/10 Mac OS, 2*AAA, Red, COLOR BOX	4.1	12	1
W750	Мышь беспроводная JEDEL W750, Q100	4.7	2	1
MICE E-1900	Мышь беспроводная MICE E-1900, 6 кнопок, 800/1200/1600 DPI, 2.4Ghz 10м, Win7/8/10 Mac OS, 2*AAA, Black, COLOR BOX, Q60	4	12	1
MICE E-2330	Мышь беспроводная MICE E-2330, 4 кнопок, 800/1200/1600 DPI, 2.4Ghz 10м, Win7/8/10 Mac OS, 2*AAA, Gray, COLOR BOX, Q60	4.1	12	1
GM690	Мышь проводная JEDEL GM690, Q100	4.4	2	1
J-UA-GR	Ніжка до шаф і стійок, 45 мм довжина, сіра	14.07	1	1
J-UA-BK	Ніжка до шаф і стійок, 45 мм довжина, чорна	14.07	1	1
WAGO44	Набор WAGO 44 в 1 для Электрика 	12	6	1
M6	Набор крепления M6,  цена за штуку	0.09	1	1
A038	Набор монтажника 11 в 1 Merlion (A038), HT-315, HT-314, тестер, коннекторы, колпачки, соединитель, разветвитель, стяжки, крона, сумка	22	12	1
A135	Набор монтажника 11 в 1 Merlion (A135), HT-806, HT-200R, KD-1, Stripper, коннекторы, колпачки, соединитель, разветвитель, стяжки, крона, сумка	28	12	1
B046	Набор монтажника 11 в 1 Merlion (B046), HT-315, KD-1, G501,HT332, тестер, коннекторы, отвертки, стрипер, box 2*5, сумка	24	12	1
B028	Набор монтажника 5 в 1 Merlion (B028), HT-315, KD-1, тестер, стрипер, сумка	16.5	12	1
B036	Набор монтажника 7 в 1 Merlion (B036), HT-315,  G501, тестер, отвертки, стрипер, сумка	19.5	12	1
A063	Набор монтажника 9 в 1 Merlion (A063), EZ-RJ45, KD-1, G501,HT332, тестер, коннекторы, отвертки, box 2*5, сумка	34	12	1
EZ-DL159	Набор эспандеров с петлями ECO ZEN	9	0	1
SR10D	Наружный считыватель карт и брелков SPARTA SR10D стандарта: EM Marine 125 KHz, WG26  	12	12	1
CR20E	Настольный USb регистратор бесконтактных карт Em-Marine CR20E	612	12	1
785	Нейлоновый износостойкий тактический ошейник для домашних животных Регулируемый 47-53 см Зеленый	8	0	1
785	Нейлоновый износостойкий тактический ошейник для домашних животных Регулируемый 47-53 см Черный 	8	0	1
785	Нейлоновый четырехслойный ошейник для собак 67х4 см 	1.7	0	1
785	Нейлоновый четырехслойный ошейник для собак 78х5 см 	1.8	0	1
HDMI-SFP-20Км	Одноканальный активный удлинитель HDMI сигнала по Оптоволоконному кабелю USB . Дальность передачи: до 20 километров, 1080P	142	6	1
785	Ошейник с ультразвуковым шокером для дрессировки собак 	8	0	1
MSP-OYSDD1+1	Ошейник с ультразвуковым шокером для дрессировки собак 1 пульт 1 шокер	20	0	1
785	Ошейник с ультразвуковым шокером для дрессировки собак 1 пульт 2 шокера	23	0	1
785	Ошейник с ультразвуковым шокером для дрессировки собак 1 пульт 2 шокера	41	0	1
785	Ошейник с ультразвуковым шокером для дрессировки собак 1 пульт 3 шокера	55	0	1
PCR-CCA/0.3Y	Патч-корд литой RITAR, CCA, UTP, RJ45, Cat.5e, 0,3m, желтый Q710	0.23	12	1
PCR-CCA/0.3R	Патч-корд литой RITAR, CCA, UTP, RJ45, Cat.5e, 0,3m, красный Q1000	0.23	12	1
PCR-CCA/0.3G	Патч-корд литой RITAR, CCA, UTP, RJ45, Cat.5e, 0,3m, серый Q710	0.23	12	1
PCR-CCA/0.3Be	Патч-корд литой RITAR, CCA, UTP, RJ45, Cat.5e, 0,3m, синий Q710	0.23	12	1
PCR-CCA/0.3Bk	Патч-корд литой RITAR, CCA, UTP, RJ45, Cat.5e, 0,3m, черный Q710	0.23	12	1
PCR-CU/0.25G	Патч-корд литой RITAR, UTP, RJ45, Cat.5e, 0,25m, серый, Cu (медь)	0.35	12	1
UA-MGSE-PEM8G	Перехідн. елемент вент. блока MGSE (шир. 610 мм) до шаф шир. 800 мм (2 шт.), сірий	140.4	1	1
UA-MGSE-PEM8B	Перехідн. елемент вент. блока MGSE (шир. 610 мм) до шаф шир. 800 мм (2 шт.), чорний	140.4	1	1
785	Перчатки для кошек, щетка для массажа щенка с  защитой от укусов	0.8	0	1
1933	Перчатки стрейчевые серые 7 класс цена за пару.	0.45	1	1
1933	Перчатки трикотажные черные 7 класс цена за пару.	0.5	1	1
1292	Перчатки Х/Б красные 10 класс цена за пару.	0.45	1	1
21380	Перчатки Х/Б красные уплотненные 7 класс цена за пару.	0.65	1	1
1297	Перчатки Х/Б синие уплотненные 10 класс цена за пару.	0.45	1	1
01296	Перчатки Х/Б синие уплотненные 7 класс цена за пару.	0.65	1	1
PCB	Плата параллельного подключения (6K/10K)	60	12	1
Еgg Sitter	Подушка Еgg Sitter 	7.3	0	1
UA-SHF2U45B	"Скринька висувна для документів 19"" 2U 450 глиб., чорна;+;1716.00;грн;1;;шт;4819,4948,10468;
16102;IPC-9310S;ССTV Тестер IPC-9310S;нет;21.00;у.е.;6;Модель IPC9310S HD Тестер видеонаблюденияСенсорный экран 4-дюймовый емкостный экран структуры G + GЖК-экран с разрешением 4 дюйма 800 × 480 IPS HD полный угол обзораПорт Ethernet 10 / 100M / 1000M адаптивныйWIFI встроенный беспроводной WIFI, скорость 150MТест основного потока H.265, новое жесткое декодирование, поддержка изображения камеры воспроизведения основного потока H.265, поддержка разрешения 4KТестирование IP-камеры ONVIF (поддерживает работу PTZ для PTZ), настройка основных инструментов IPC для основных брендов, частный протокол для воспроизведения изображений, поддержка почти всех брендов камер на рынкеТест аналогового мониторинга CVBS 1 аналоговый вход CVBS, поддержка адаптивной системы PAL / NTSCИмитация объектива имитирует область отображения экрана объектива «2,8 / 3,6 / 4/6/8/12/16 / 25 мм»Информация о фокусировке тестовая информация о фокусировке камеры, определение качества изображенияIP-обнаружение IP-адрес всего сегмента сети IP-камеры обнаруженияИнструмент Hikvision SADP Пакетная активация камеры Hikvision, пакетная модификация IP, имя пользователя, пароль могут быть измененыИнструменты тестирования Dahua Пакетная активация камеры Dahua, пакетная модификация IP, модификация IP в сегментах сети, изменение имени пользователя и пароляТест видеосигнала TVI4.0 1 вход TVI IN BNC, поддержка разрешения 720p25 / 30/50 / 60fps 1080p25 / 30fps2048 × 1536/18/25 / 30 кадров в секунду 2688 × 1520/15 кадров в секунду 2560 × 1944 / 12,5 / 20 кадров в секунду2592 × 1944 / 12,5 / 20 кадров / с 3840 × 2160/15 кадров / сТест видеосигнала CVI4.0 1 вход CVI IN BNC, поддержка разрешения 720p25 / 30/50 / 60fps 1080p25 / 30fps2560 × 1440/25/30 кадров в секундуТест видеосигнала AHD4.0 1 вход AHD IN BNC, поддержка разрешения 720p25 / 30/50 / 60fps 1080p25 / 30fps2048 × 1536/18/25 / 30 кадров в секунду 2688 × 1520/15 кадров в секунду 2560 × 1944 / 12,5 / 20 кадров в секунду2592 × 1944 / 12,5 / 20 кадров в секундуВыходная мощность PoE 48 В Выходная мощность PoE, максимальная мощность 25,5 ВтДелайте фотографии, записывайте видео и воспроизводите все видеоизображения. Делайте фото и записывайте видео. Поддержка кодировки H264 для храненияПроверка напряжения PoE / PSE показывает диапазон отображения напряжения источника питания и подключения к сети.Тестирование качества сетевого кабеля TDR Параметры теста, такие как состояние, длина, затухание, качество, импеданс, отклонение задержки сетевого кабеляТест сетевого кабеля UTP Проверяет порядок подключения и целостность любых двух линий с интернет-кабелемУправление PTZ поддерживает более 30 протоколов, включая Pelco-D / P и т. Д.Выходная мощность 12 В постоянного тока Выход постоянного тока 12 В, максимальный ток 3 А, временный источник питания для камерыПоследовательный инструмент RS485 может принимать, отправлять произвольные данные или шестнадцатеричные данныеЗарядное устройство постоянного тока 12В / 2АВстроенный полимерный литиевый аккумулятор 7,4 В, емкостью 3000 мАч, можно использовать в течение 8-10 часовУпрощенный китайский, традиционный китайский, английскийВнутренняя SD для хранения пространство 8GРабочая температура -10 ℃ - + 50 ℃Рабочая влажность 30% -90%230 мм × 103 мм × 38 ммВес: 0,5 кг;шт;2097,11995,18553;
4907;UA-OF24-S-GR;Стійка 24U, однорамна, сіра (без ніг);+;2164.50;грн;1;;шт;4819,4906,10468;
4908;UA-OF24-S-BK;Стійка 24U, однорамна, чорна (без ніг);+;2164.50;грн;1;;шт;4819,4906,10468;
4914;UA-OF24-D-GR;Стійка 24U, подвійна, сіра (без ніг);+;4368.00;грн;1;;шт;4819,4913,10468;
4915;UA-OF24-D-BK;Стійка 24U, подвійна, чорна (без ніг);+;4368.00;грн;1;;шт;4819,4913,10468;
4909;UA-OF33-S-GR;Стійка 33U, однорамна, сіра (без ніг);+;2418.00;грн;1;;шт;4819,4906,10468;
4910;UA-OF33-S-BK;Стійка 33U, однорамна, чорна (без ніг);+;2418.00;грн;1;;шт;4819,4906,10468;
4916;UA-OF33-D-GR;Стійка 33U, подвійна, сіра (без ніг);+;5655.00;грн;1;;шт;4819,4913,10468;
4917;UA-OF33-D-BK;Стійка 33U, подвійна, чорна (без ніг);+;5655.00;грн;1;;шт;4819,4913,10468;
4911;UA-OF42-S-GR;Стійка 42U, однорамна, сіра (без ніг);+;2722.20;грн;1;;шт;4819,4906,10468;
4912;UA-OF42-S-BK;Стійка 42U, однорамна, чорна (без ніг);+;2722.20;грн;1;;шт;4819,4906,10468;
4918;UA-OF42-D-GR;Стійка 42U, подвійна, сіра (без ніг);+;6240.00;грн;1;;шт;4819,4913,10468;
4919;UA-OF42-D-BK;Стійка 42U, подвійна, чорна (без ніг);+;6240.00;грн;1;;шт;4819,4913,10468;
4920;UA-OF45-D-GR;Стійка 45U, подвійна, сіра (без ніг);+;6942.00;грн;1;;шт;4819,4913,10468;
4921;UA-OF45-D-BK;Стійка 45U, подвійна, чорна (без ніг);+;6942.00;грн;1;;шт;4819,4913,10468;
4922;UA-OF49-D-GR;Стійка 49U, подвійна, сіра (без ніг);+;7722.00;грн;1;;шт;4819,4913,10468;
4923;UA-OF49-D-BK;Стійка 49U, подвійна, чорна (без ніг);+;7722.00;грн;1;;шт;4819,4913,10468;
17991;SP-SPFC;Стакан для мытья лап любимым питомцам Soft pet foot cleaner;+;2.35;у.е.;0;;шт;10471,18526;
16037;GTM-1210RDZ;Стяжка-липучка, 12 мм x 10 м, моток, червона, EPNew;+;225.83;грн;1;;шт;4819,4900,10468;
2124;02124;Сумка для ноутбука из крокодильей кожи 13,3"""	23	0	1
17377	Считыватель RTM для ключей  	4.8	12	1
10128	Считыватель RTM для ключей DALLAS с подсветкой	5	12	1
UA-MGSWA216B	Шафа 21U, 600х600х1040 мм (Ш*Г*В), акрилове скло, чорна	8087.9	1	1
UA-MGSWA218G	Шафа 21U, 600х800х1040 мм (Ш*Г*В), акрилове скло, ciра	8623.3	1	1
UA-MGSWA218B	Шафа 21U, 600х800х1040 мм (Ш*Г*В), акрилове скло, чорна	8623.3	1	1
UA-MGSWL435G	Шафа 4U, 600x350x284мм (Ш*Г*В), економ, акрилове скло, сiра	3174.6	1	1
UA-MGSWL435B	Шафа 4U, 600x350x284мм (Ш*Г*В), економ, акрилове скло, чорна	3174.6	1	1
UA-MGSWA435G	Шафа 4U, 600х350х284 мм (Ш*Г*В), акрилове скло, сіра	3778.63	1	1
UA-MGSWA435B	Шафа 4U, 600х350х284 мм (Ш*Г*В), акрилове скло, чорна	3778.63	1	1
UA-MGSWL635G	Шафа 6U, 600x350x373мм (Ш*Г*В), економ, акрилове скло, сіра	3486.05	1	1
UA-MGSWL635B	Шафа 6U, 600x350x373мм (Ш*Г*В), економ, акрилове скло, чорна	3486.05	1	1
UA-MGSWL65G	Шафа 6U, 600x500x373мм (Ш*Г*В), економ, акрилове скло, сіра	3892.75	1	1
UA-MGSWL65B	Шафа 6U, 600x500x373мм (Ш*Г*В), економ, акрилове скло, чорна	3892.75	1	1
UA-MGSWA635B	Шафа 6U, 600х350х373 мм (Ш*Г*В), акрилове скло, чорна	4138.99	1	1
UA-MGSWA65G	Шафа 6U, 600х500х373 мм (Ш*Г*В), акрилове скло, сіра	4622.9	1	1
UA-MGSWA65B	Шафа 6U, 600х500х373 мм (Ш*Г*В), акрилове скло, чорна	4622.9	1	1
UA-MGSWL935G	Шафа 9U, 600x350x507мм (Ш*Г*В), економ, акрилове скло, сіра	3881.59	1	1
UA-MGSWL935B	Шафа 9U, 600x350x507мм (Ш*Г*В), економ, акрилове скло, чорна	3881.59	1	1
UA-MGSWL95G	Шафа 9U, 600x500x507мм (Ш*Г*В), економ, акрилове скло, сіра	4316.6	1	1
UA-MGSWL95B	Шафа 9U, 600x500x507мм (Ш*Г*В), економ, акрилове скло, чорна	4316.6	1	1
UA-MGSWA935B	Шафа 9U, 600х350х507 мм (Ш*Г*В), акрилове скло, чорна	4669.63	1	1
UA-MGSWA95B	Шафа 9U, 600х500х507 мм (Ш*Г*В), акрилове скло, чорна	5199.48	1	1
UA-MGSWA96B	Шафа 9U, 600х600х507 мм (Ш*Г*В), акрилове скло, чорна	5730.12	1	1
PP-NVR1116	16-канальный 4K Видеорегистратор PP-NVR1116	0	12	1
MN-D1MPP	1MP камера купольная корпус пластик AHD 720Р/960Н MERLION (обьектив 3.6мм/ИК подсветка 20м)	9.99	12	1
YT-En-2HW	2  in 1 MicroUSB/PC HD эндоскоп, мягкий провод, 1м	6.5	0	1
YT-En-2HW	2  in 1 MicroUSB/PC HD эндоскоп, мягкий провод,2м	6	0	1
T18Y	24-вольтовый 5-дюймовый автомобильный HD ЖК-дисплей	15.6	12	1
YT-En-1HW	3  in 1 MicroUSB/PC HD эндоскоп, жесткий провод, 1м	6.65	0	1
YT-En-1HW	3  in 1 MicroUSB/PC HD эндоскоп, жесткий провод, 2м	7.2	0	1
DHI-NVR5432-16P-I	32-канальный 1.5U сетевой видеорегистратор с искусственным интеллектом DHI-NVR5432-16P-I	1108	12	1
4g	4G(LTE) -  USB модем 	18	12	1
GW IPC11D4MP30	4MП Starlig Купольная  уличн/внутр камера со звуком GW IPC11D4MP30 2.8mm POE 	0	12	1
ONV-H1004P	4х портовый PoE коммутатор ONV-H1004P 4 порта РоЕ 100 Мбіт + 1х100 Мбіт, IEEE802.3af / at до 30 Вт на каждый  PoE порт	18	12	1
ONV-H1064PL	4х портовый PoE коммутатор ONV-H1064PL 4 порта РоЕ 100 Мбіт + 2х100 Мбіт, IEEE802.3af / at до 30 Вт на каждый  PoE порт	29.98	12	1
PP-NVR1109	9-канальный 4K Видеорегистратор PP-NVR1109	0	12	1
FM-H13	FM- модулятор H13	3.2	1	1
RC-27	GSM контроллер RC-27 (для управления шлагбаумом, воротами, замками)	33	12	1
NeoBox Pro	IP адаптер для переадрессации вызова на смартфон через APP NeoLight NeoBox Pro	86.25	12	1
BT-D6104FE	POE коммутатор Merlion 4 POE 10/100  + 1Single Fiber Tx1310nm 20km + встроенный блок питания 52V 1.38A	36.5	12	1
S1213-S20C	SFP модуль MERCURY 1.25G 1310nm 20Km WDM SC поддержка DDM TX1310/RX1550	9.5	12	1
DHI-ASC2104B-T	Slave контроллер для 4-дверей DHI-ASC2104B-T	97.32	12	1
DHI-ASL2101S-R	Smart замок автономный Mifare DHI-ASL2101S-R	174.44	12	1
UMB100HT	UMB100HT брелок комплекта U1-HS	10.5	12	1
DZ47S	Автоматический  выключатель Delixi HDBE DZ47S 1P/16A	2.2	2	1
FPR-3	Автономный считыватель отпечатков пальцев и бесконтактных карт  FPR-3	41.4	12	1
OK-AD710	Адаптер LC DUPLEX 9/125 OS2	44.4	1	1
LM-141X-V1.0	Адаптер M2-PCI-e x4, MOLEX=>4pin, отвертка +, Пакет	1.48	0	1
LM-141X-V1.0	Адаптер M2-PCI-e x4, отвертка +, Пакет	0.4	0	1
22428	Адаптер питания к абонентскому терминалу 16PON EPON OLT optical switch	0	6	1
YT-CCNF-V	АЗУ NOKOKO Flower, 12V-USB, 5-5.5V, 2*USB, 10W, 2,1А, Violet, Пакет Q50	0.9	6	1
LAAS65/19-5.5*2.5	АЗУ для ноутбука ASUS 19V 3.42A (65 Вт) штекер 5.5*2.5мм	9	12	1
LAAS90/19-5.5*2.5	АЗУ для ноутбука ASUS 19V 4,74A (90 Вт) штекер 5.5*2.5мм	11.5	12	1
PKCELL  18650	Аккумулятор 18650 PKCELL 3.7V 18650 2600mAh Li-ion rechargeable batery 1 шт в блистере, цена за блистер, Q20	3.68	3	1
PC/AAA600-2BR	Аккумулятор PKCELL 1.2V  AAA 600mAh NiMH Rechargeable Battery, 2 штуки в блистере цена за блистер, Q12	1.18	3	1
